Neurônios,Taxa de Aprendizagem,Erro Tolerado,Faixa de Inicialização,Máximo de Ciclos,Minimo Erro Quadratico,Tempo de Convergência
200,0.001,0.02,"(0, 0.1)",2000,0.07796868076523068,694.9788415431976
200,0.001,0.02,"(0, 0.1)",3000,0.07797118859581569,1033.241486787796
200,0.001,0.02,"(-0.5, 0.5)",1000,0.11692197749164739,364.31615447998047
200,0.001,0.02,"(-0.5, 0.5)",2000,0.14050614660609112,727.016624212265
200,0.001,0.02,"(-0.5, 0.5)",3000,0.15267929068712988,1093.0770461559296
200,0.001,0.02,"(-1, 1)",1000,0.1603426171876189,317.72733640670776
200,0.001,0.02,"(-1, 1)",2000,0.15098024722232956,116.82028126716614
200,0.001,0.02,"(-1, 1)",3000,0.157348903627809,44217.26824593544
200,0.001,0.05,"(0, 0.1)",1000,0.07796800512068564,338.25211906433105
200,0.001,0.05,"(0, 0.1)",2000,0.07796791129554322,629.2927858829498
200,0.001,0.05,"(0, 0.1)",3000,0.07796832830988767,978.50989985466
200,0.001,0.05,"(-0.5, 0.5)",1000,0.10956999128443048,349.1075794696808
200,0.001,0.05,"(-0.5, 0.5)",2000,0.1408653199575817,693.6696441173553
200,0.001,0.05,"(-0.5, 0.5)",3000,0.14044745221538818,667.2142417430878
200,0.001,0.05,"(-1, 1)",1000,0.14671299231256374,134.03588128089905
200,0.001,0.05,"(-1, 1)",2000,0.13874914191111926,93.21353244781494
200,0.001,0.05,"(-1, 1)",3000,0.14711023977565788,899.8810050487518
200,0.005,0.01,"(0, 0.1)",1000,0.07812835447843704,342.0987079143524
200,0.005,0.01,"(0, 0.1)",2000,0.07813708398048104,684.61034989357
200,0.005,0.01,"(0, 0.1)",3000,0.0780977748622687,1032.140112876892
200,0.005,0.01,"(-0.5, 0.5)",1000,0.15800157708520793,368.809757232666
200,0.005,0.01,"(-0.5, 0.5)",2000,0.1588375124078057,733.2569854259491
200,0.005,0.01,"(-0.5, 0.5)",3000,0.15929151388676677,1107.511623620987
200,0.005,0.01,"(-1, 1)",1000,0.15833311259603436,390.1129071712494
200,0.005,0.01,"(-1, 1)",2000,0.15898937111024675,784.4435565471649
200,0.005,0.01,"(-1, 1)",3000,0.15798752830470222,286.8978066444397
200,0.005,0.02,"(0, 0.1)",1000,0.07810552673778401,349.9350094795227
200,0.005,0.02,"(0, 0.1)",2000,0.07812385391294044,694.0402185916901
200,0.005,0.02,"(0, 0.1)",3000,0.07810113140435869,1046.140166759491
200,0.005,0.02,"(-0.5, 0.5)",1000,0.15560070042857646,298.97904443740845
200,0.005,0.02,"(-0.5, 0.5)",2000,0.16054271127205572,751.5345351696014
200,0.005,0.02,"(-0.5, 0.5)",3000,0.1515170550762374,240.73560500144958
200,0.005,0.02,"(-1, 1)",1000,0.1585023125698719,395.0282862186432
200,0.005,0.02,"(-1, 1)",2000,0.15173764339336424,23.86587691307068
200,0.005,0.02,"(-1, 1)",3000,0.16532568111498047,86.78461217880249
200,0.005,0.05,"(0, 0.1)",1000,0.07815817050970575,357.7848289012909
200,0.005,0.05,"(0, 0.1)",2000,0.07811457574276486,707.1511974334717
200,0.005,0.05,"(0, 0.1)",3000,0.0781193908785552,1064.4830689430237
200,0.005,0.05,"(-0.5, 0.5)",1000,0.13992090908666888,148.48077607154846
200,0.005,0.05,"(-0.5, 0.5)",2000,0.14264217088775033,160.28341150283813
200,0.005,0.05,"(-0.5, 0.5)",3000,0.13963883094202115,166.84624314308167
200,0.005,0.05,"(-1, 1)",1000,0.13354352764427124,16.329505681991577
200,0.005,0.05,"(-1, 1)",2000,0.13278902799494507,9.533177614212036
200,0.005,0.05,"(-1, 1)",3000,0.13559721249614745,16.442543983459473
200,0.01,0.01,"(0, 0.1)",1000,0.07870608164475458,352.9641819000244
200,0.01,0.01,"(0, 0.1)",2000,0.07839949477136779,706.3793413639069
200,0.01,0.01,"(0, 0.1)",3000,0.07961641533987213,1029.6330015659332
200,0.01,0.01,"(-0.5, 0.5)",1000,0.16184931123711505,365.60959577560425
200,0.01,0.01,"(-0.5, 0.5)",2000,0.15967560352684546,742.3776984214783
200,0.01,0.01,"(-0.5, 0.5)",3000,0.15961498123866116,1134.6805222034454
200,0.01,0.01,"(-1, 1)",1000,0.15390285748530114,398.26395773887634
200,0.01,0.01,"(-1, 1)",2000,0.14682284278214522,17.781245470046997
200,0.01,0.01,"(-1, 1)",3000,0.14253202559073902,89.06885504722595
200,0.01,0.02,"(0, 0.1)",1000,0.07856718170102338,361.86793088912964
200,0.01,0.02,"(0, 0.1)",2000,0.07868351907995075,706.7612407207489
200,0.01,0.02,"(0, 0.1)",3000,0.07832036149080346,1101.3574521541595
200,0.01,0.02,"(-0.5, 0.5)",1000,0.159615093866685,382.7274408340454
200,0.01,0.02,"(-0.5, 0.5)",2000,0.15964052534934767,684.7340512275696
200,0.01,0.02,"(-0.5, 0.5)",3000,0.1592712003217995,1134.0999381542206
200,0.01,0.02,"(-1, 1)",1000,0.14630786883018515,9.687496900558472
200,0.01,0.02,"(-1, 1)",2000,0.1404838647156581,26.33301329612732
200,0.01,0.02,"(-1, 1)",3000,0.1390223562774926,11.034223794937134
200,0.01,0.05,"(0, 0.1)",1000,0.07864616583934105,355.1651747226715
200,0.01,0.05,"(0, 0.1)",2000,0.0784348769689492,706.7634692192078
